fid,cat,field_1,date,julian_day,year,trip_numbe,tag_id,fork_lengt,weight_g,latitude,longitude,river_m
"1","1","1",2021/06/25 00:00:00,"176","2021",0,"26","241",153.3,41.53737,-119.00085,6843.50840504959
"2","2","2",2021/06/25 00:00:00,"176","2021",0,"34","178",60.7,41.53731,-119.00082,6837.61678926577
"3","3","3",2021/06/24 00:00:00,"175","2021",0,"16","158",46.1,41.51601,-118.95726,12437.6720395883
"4","4","4",2021/06/24 00:00:00,"175","2021",0,"17","138",30.4,41.51586,-118.95721,12454.4064014052
"5","5","5",2021/06/24 00:00:00,"175","2021",0,"19","128",23.3,41.51348,-118.95605,12735.4304252503
"6","6","6",2021/06/24 00:00:00,"175","2021",0,"27","168",53.8,41.53241,-118.98883,8403.29903545081
"7","7","7",2021/06/24 00:00:00,"175","2021",0,"28","197",80.7,41.53256,-118.98864,8423.51442620559
"8","8","8",2021/06/24 00:00:00,"175","2021",0,"29","121",17.3,41.51708,-118.95756,12310.6598459281
"9","9","9",2021/06/24 00:00:00,"175","2021",0,"32","148",36.2,41.51342,-118.95597,12744.4861142586
"10","10","10",2021/06/24 00:00:00,"175","2021",0,"35","116",16,41.51746,-118.95763,12268.4555664541
"11","11","11",2021/06/23 00:00:00,"174","2021",0,"13","190",58.5,41.50296,-118.97895,3599.77366111488
"12","12","12",2021/06/23 00:00:00,"174","2021",0,"15","135",29.6,41.50293,-118.97897,3602.29566821803
"13","13","13",2021/06/23 00:00:00,"174","2021",0,"18","177",57.1,41.50279,-118.97889,3619.41723119551
"14","14","14",2021/06/23 00:00:00,"174","2021",0,"20","128",24.7,41.54155,-119.00477,6239.30368894502
"15","15","15",2021/06/23 00:00:00,"174","2021",0,"21","204",90.8,41.51203,-118.98547,2425.19433888408
"16","16","16",2021/06/23 00:00:00,"174","2021",0,"24","214",115.1,41.51197,-118.9854,2434.37622364857
"17","17","17",2021/06/23 00:00:00,"174","2021",0,"25","225",118.7,41.54155,-119.00477,6239.30368894502
"18","18","18",2021/06/23 00:00:00,"174","2021",0,"30","199",87.6,41.54308,-119.00681,6010.94073567411
