fid,cat,date,trip_numbe,tag_id,latitude,longitude,signal_str,gain,notes,LakeDist,X,stream,reach,seq_order,channel_ty,latitude_2,longitude_,unit_lengt,wetted_wid,max_depth_,pool_crest,LWD_small,LWD_med,LWD_large,root_debri,riparian_s,total_shad,fish_prese,undercut_L,undercut_R,sand,gravel,cobble,boulder,bedrock,dominantSi,dominant_1,understory,understo_1,understo_2,understo_3,understo_4,understo_5,overstoryV,overstor_1,overstor_2,overstor_3,overstor_4,overstor_5,overstor_6,overstor_7,n,distance,feature_x,feature_y,nearest_x,nearest_y,date_2,site_id,latitude_3,longitud_1,rct_depth_,max_pool_d,notes_2,n_2,distance_2,feature_x_,feature_y_,nearest_x_,nearest_y_
"1","1",6/22/2021,"0","11",41.53177,-118.99426,na,na,Tagging event,7855.37041408706,"517",Mahogany Creek,MC4-15-1,"200",SSMC8,41.5318043660044,-118.994642051462,"1.5","1.07","0.14",NA,"0","0","0","1","92","92",N,"0","0","90","10","0","0","0",SP,ST,"70","30","0","90","10","0","0","40","60","50","0","10","50","50","1",0.000383593980496,-118.99426,41.53177,-118.994642051462,41.5318043660044,6/18/2021,MG3,41.53177,-118.99426,8.7,30.5,5m DS of logger,"1",0,-118.99426,41.53177,-118.99426,41.53177
"2","2",6/29/2021,"1","11",41.53172,-118.99395,"231","30",in small plunge pool,7886.37706003718,"105",Mahogany Creek,MC5-501,"211",SSLS1,41.532078239842,-118.993391894111,"12","2.1","0.55","0.26","0","0","0","1","27","27",Y,"0","6","70","30","0","0","0",SS,ST,"2","98","0","5","94","1","50","0","0","0","4","5","65","4","1",0.000663187731892,-118.99395,41.53172,-118.993391894111,41.532078239842,6/18/2021,MG3,41.53177,-118.99426,8.7,30.5,5m DS of logger,"1",0.000314006369361,-118.99395,41.53172,-118.99426,41.53177
"3","3",7/6/2021,"2","11",41.53173,-118.99396,"231","20","Same location, small pool under willow thicket",7885.54261354201,"105",Mahogany Creek,MC5-501,"211",SSLS1,41.532078239842,-118.993391894111,"12","2.1","0.55","0.26","0","0","0","1","27","27",Y,"0","6","70","30","0","0","0",SS,ST,"2","98","0","5","94","1","50","0","0","0","4","5","65","4","1",0.000666344722102,-118.99396,41.53173,-118.993391894111,41.532078239842,6/18/2021,MG3,41.53177,-118.99426,8.7,30.5,5m DS of logger,"1",0.000302654919004,-118.99396,41.53173,-118.99426,41.53177
"4","4",6/22/2021,"0","12",41.52709,-118.98565,na,na,Tagging event,657.268477086312,"191",Summer Camp Creek,SCC1-069,"5020",SSLS9,41.5292226904534,-118.986652030263,"2.3","1.91","0.13","0.38","0","0","0","1","90","90",N,"0","1.3","80","20","0","0","0",SS,SS,"55","45","0","80","20","0","2","2","60","27","0","0","25","15","1",0.002356360163045,-118.98565,41.52709,-118.986652030263,41.5292226904534,6/18/2021,SC1,41.52543,-118.98546,8.4,24.9,max depth under barbed wire,"1",0.001670838113045,-118.98565,41.52709,-118.98546,41.52543
"5","5",6/29/2021,"1","12",41.52695,-118.98557,"243","20","found in willow roots; fish observed",674.321115840173,"191",Summer Camp Creek,SCC1-069,"5020",SSLS9,41.5292226904534,-118.986652030263,"2.3","1.91","0.13","0.38","0","0","0","1","90","90",N,"0","1.3","80","20","0","0","0",SS,SS,"55","45","0","80","20","0","2","2","60","27","0","0","25","15","1",0.002517123633644,-118.98557,41.52695,-118.986652030263,41.5292226904534,6/18/2021,SC1,41.52543,-118.98546,8.4,24.9,max depth under barbed wire,"1",0.001523975065412,-118.98557,41.52695,-118.98546,41.52543
"6","6",7/6/2021,"2","12",41.52699,-118.98556,"232","25","Same location, US of creek ford",670.364442694878,"191",Summer Camp Creek,SCC1-069,"5020",SSLS9,41.5292226904534,-118.986652030263,"2.3","1.91","0.13","0.38","0","0","0","1","90","90",N,"0","1.3","80","20","0","0","0",SS,SS,"55","45","0","80","20","0","2","2","60","27","0","0","25","15","1",0.002485444981491,-118.98556,41.52699,-118.986652030263,41.5292226904534,6/18/2021,SC1,41.52543,-118.98546,8.4,24.9,max depth under barbed wire,"1",0.001563201842372,-118.98556,41.52699,-118.98546,41.52543
"7","7",7/19/2021,"3","12",41.52697,-118.9856,"241","20","Fish observed alive, same location",671.367559153564,"191",Summer Camp Creek,SCC1-069,"5020",SSLS9,41.5292226904534,-118.986652030263,"2.3","1.91","0.13","0.38","0","0","0","1","90","90",N,"0","1.3","80","20","0","0","0",SS,SS,"55","45","0","80","20","0","2","2","60","27","0","0","25","15","1",0.002486238514929,-118.9856,41.52697,-118.986652030263,41.5292226904534,6/18/2021,SC1,41.52543,-118.98546,8.4,24.9,max depth under barbed wire,"1",0.001546350542405,-118.9856,41.52697,-118.98546,41.52543
"8","8",6/23/2021,"0","13",41.50296,-118.97895,na,na,Tagging event,3599.77366111488,"219",Summer Camp Creek,SCC4-15-7,"5140",FTRP12,41.5033208802072,-118.979246250734,"1.7","1.7","0.13",NA,"0","0","0","0","87","87",N,"0","0","60","16","12","12","0",ST,SP,"95","5","0","60","40","0","0","0","65","20","15","0","45","5","1",0.000466903653166,-118.97895,41.50296,-118.979246250734,41.5033208802072,6/18/2021,SC2,41.50257,-118.97894,8.6,18.8,"same site as logger, it's just a deeper riffle; high gradient","1",0.000390128184066,-118.97895,41.50296,-118.97894,41.50257
"9","9",6/30/2021,"1","13",41.5029,-118.97894,"244","20",in plunge pool below live log,3606.36153810569,"219",Summer Camp Creek,SCC4-15-7,"5140",FTRP12,41.5033208802072,-118.979246250734,"1.7","1.7","0.13",NA,"0","0","0","0","87","87",N,"0","0","60","16","12","12","0",ST,SP,"95","5","0","60","40","0","0","0","65","20","15","0","45","5","1",0.000520509040161,-118.97894,41.5029,-118.979246250734,41.5033208802072,6/18/2021,SC2,41.50257,-118.97894,8.6,18.8,"same site as logger, it's just a deeper riffle; high gradient","1",0.000329999999998,-118.97894,41.5029,-118.97894,41.50257
"10","10",7/7/2021,"2","13",41.5055,-118.98013,"217","20","In long riffle in debris pile, inconsistent reading",3293.37296315535,"192",Summer Camp Creek,SCC4-15-7,"5121",SSLS1,41.5045984842512,-118.9798482952,"2.5","1.6","0.23","0.27","0","0","0","0","97","97",Y,"0","0","60","39","1","0","0",SS,SS,"50","49","1","45","54","1","22","1","55","0","20","15","35","0","1",0.000944504229573,-118.98013,41.5055,-118.9798482952,41.5045984842512,6/18/2021,SC2,41.50257,-118.97894,8.6,18.8,"same site as logger, it's just a deeper riffle; high gradient","1",0.003162435770101,-118.98013,41.5055,-118.97894,41.50257
